Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D
Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C
Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D
Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D
Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B
Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B
Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D
Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C
Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A
Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C
Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A
Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D
Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
